Module: Segment,Working Title,Video File,Caption File,Codio Link
Module 1 - Legacy Code and Refactoring,,,,
1.0,Module Overview,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Overview_Mod9_v03.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Overview_Mod9_v03.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=d82c6356d3a8c8c233501b679252d4fe&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.1,"What Makes Code ""Legacy"" and How Can Agile Help?",https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Legacy_Code_Agile_Help_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Legacy_Code_Agile_Help_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=e2b7d3fc2fb5c8cad6a20274d969d60b&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.2,Exploring a Legacy Codebase,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Exploring_Legacy_Codebase_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Exploring_Legacy_Codebase_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=59097a73ec4508f383be0c2580718c91&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.3,Establishing Ground Truth With Characterization Tests,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Ground_Truth_Characterization_Tests_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Ground_Truth_Characterization_Tests_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=03d540e20c4279731a8b17d2c364b05b&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.4,Comments and Commits: Documenting Code,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Comments_Commits_Documenting_Code_v02.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Comments_Commits_Documenting_Code_v02.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=2103348fbf4f57b72ff41a18ddf03d0c&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.5,"Metrics, Code Smells, and SOFA",https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Metrics_Code_Smells_SOFA_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Metrics_Code_Smells_SOFA_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=17d273fee386d66844ab6509ef9b7cb2&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.6,Method-Level Refactoring: Replacing Dependencies With Seams,"https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Method_Level_Refactoring_v01.mp4
",https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Method_Level_Refactoring_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=78b43923adbc8d521ed66f27c4643389&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.7,The Plan-And-Document Perspective on Working With Legacy Code,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Working_with_Legacy_Code_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Working_with_Legacy_Code_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=b781cf2ac37bf9204eb93c3b0caef908&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.8,Fallacies and Pitfalls,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=572a0b2ff52f47c9c247986f11566a75&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
1.9,Concluding Remarks: Continuous Refactoring,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=6484f22f599c154d31b3a9684a538f66&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
Module 2 - Agile Teams,,,,
2.0,"Module Overview
",https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Overview_Mod10_v03.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Overview_Mod10_v03.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=df59c6c7d44079e77cf0dfef3ce0cbfc&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.1,It Takes a Team: Two-Pizza and Scrum,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Takes_a_Team_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Takes_a_Team_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=7a7083629f5534ce7923e74660fda655&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.2,Using Branches Effectively,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Using_Branches_Effectively_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Using_Branches_Effectively_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=898bd45c39eeb7e8886c761994d69737&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.3,Pull Requests and Code Reviews,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Pull_Requests_Code_Reviews_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Pull_Requests_Code_Reviews_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=29384311a8e0c1467a5449c9174a00e9&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.4,Delivering the Backlog Using Continuous Integration,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Continuous_Integration_v04.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Continuous_Integration_v04.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=dfcf15d7e13eda51dd00a535c70e1c64&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.5,CHIPS: One Iteration of XP,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=e0eaeebdef92c736c30111b087b824a9&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.6,Reporting and Fixing Bugs: The Five R's,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Reporting_Fixing_Bugs_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Reporting_Fixing_Bugs_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=74c79d889b16aa36e17b2b643b4ffced&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
